127.0.0.1, 2018-04-12 23:34:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/cats/onechi, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/images/chi1.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-04-12 23:34:43, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-12 23:34:53, GET, /start/appadmin/index, HTTP/1.1, 303, 0.073000
127.0.0.1, 2018-04-12 23:34:54, GET, /admin/default/index, HTTP/1.1, 200, 0.144000
127.0.0.1, 2018-04-12 23:34:56, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2018-04-12 23:34:56, GET, /start/appadmin/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-04-12 23:34:56, GET, /start/appadmin/hooks, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-04-12 23:37:24, GET, /start/appadmin/select/db, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-04-16 13:01:07, GET, /, HTTP/1.1, 303, 0.023000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.197000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:08, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-16 13:01:17, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-04-16 13:01:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/default/index, HTTP/1.1, 200, 0.183000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 13:01:51, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:55, POST, /admin/default/index, HTTP/1.1, 303, 0.026000
127.0.0.1, 2018-04-16 13:01:55, GET, /admin/default/site, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-04-16 13:01:55, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 13:01:55, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 13:01:55, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 13:01:55, POST, /admin/default/check_version, HTTP/1.1, 200, 0.348000
127.0.0.1, 2018-04-21 15:39:30, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.300000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
, 0.002000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-21 15:39:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-21 15:40:00, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-21 15:40:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-04-21 15:40:15, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-21 15:40:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.085000
127.0.0.1, 2018-04-21 15:40:25, GET, /start, HTTP/1.1, 200, 0.273000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-04-21 15:40:25, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.020000
